Planet name,Host star name,Stars in system,Planets in system,Discovery method,Discovery year,Discovery facility,Orbital period (days),Orbit semi-major axis (AU),Planet radius (R_E),Planet radius (R_J),Planet mass (M_E),Planet temperature (K),Stellar spectral class,Stellar temperature (K),Stellar radius (R_sol),Stellar mass (M_sol),Right ascension (deg),Declination (Deg),Stellar distance (pc),Stellar magnitude,releasedate
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,,1.21,,,5434.7,,,,,2.6,185.1787793,17.7932516,93.1846,4.72307,2014-07-23
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,,,6165.6,,G8 III,4742,19,2.7,185.1787793,17.7932516,93.1846,4.72307,2014-05-14
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21,1.178,,,4914.89848585,,G8 III,4874,13.76,2.09,185.1787793,17.7932516,93.1846,4.72307,2023-09-19
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,,,4684.8142,,,4213,29.79,2.78,229.2745954,71.8239428,125.321,5.013,2018-09-06
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,1.51,,,3432.4,,,,,1.7,229.2745954,71.8239428,125.321,5.013,2014-07-23
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,1.54,,,3337.07,,K4 III,4340,24.08,1.8,229.2745954,71.8239428,125.321,5.013,2014-05-14
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,,,1131.15130051,,K0 III,4888,11.55,1.78,352.82415,39.2358367,75.4392,5.23133,2023-09-19
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,0.68,,,1017,,,,,1.2,352.82415,39.2358367,75.4392,5.23133,2014-07-23
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,,,1525.5,,K0 III,4813,11,2.2,352.82415,39.2358367,75.4392,5.23133,2014-05-14
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.4,2.77,,,1474.67,,K0 V,,,,242.6021014,43.8163621,17.9323,6.61935,2014-05-14
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766,2.864,,,1581.138,,,5280,1.00235,0.91,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,,,2559.47216157,,,,,0.91,242.6021014,43.8163621,17.9323,6.61935,2023-06-12
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,,,1481.0878,,,5338,0.93,0.9,242.6021014,43.8163621,17.9323,6.61935,2018-09-06
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1796.4,2.8,,,1506.45,,,5255,,0.9,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1766.41,2.83,,,1541.46777395,,,5314.94,0.995819,0.969205,242.6021014,43.8163621,17.9323,6.61935,2021-09-20
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1724,2.82,,,1554.12,,K0 V,,,1,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,,2.73,,,1440.663,,,,,0.9,242.6021014,43.8163621,17.9323,6.61935,2014-08-21
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.45,1.676,,,556.83536906,,,5711.97,1.159464,0.982996,295.4656422,50.5168243,21.1397,6.215,2021-09-20
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.681,,,533.9544,,,5674,,0.99,295.4656422,50.5168243,21.1397,6.215,2015-09-10
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,800.8,1.6,,,476.7,,G2.5 V,5760,,1,295.4656422,50.5168243,21.1397,6.215,2014-08-21
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.5,1.68,,,533.93,,,5747,1.12827,1.03,295.4656422,50.5168243,21.1397,6.215,2014-09-18
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,799.5,1.68,,,533.93,,G3 V,,,,295.4656422,50.5168243,21.1397,6.215,2014-09-18
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,,,565.7374,,,5750,1.13,1.08,295.4656422,50.5168243,21.1397,6.215,2018-09-06
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,,,1373.01871824,,K3 III,4157,25.92,1.22,243.4620874,-11.8377905,124.953,5.22606,2021-10-25
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,,,3273.5,,G6 III,4979,8.5,2.3,314.6078375,10.8391378,76.222,5.51048,2014-05-14
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,,,2926.24614325,,G6 III,4980,8.8,2.1,314.6078375,10.8391378,76.222,5.51048,2023-09-19
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,,2.54,,,3127.3,,,,,2.1,314.6078375,10.8391378,76.222,5.51048,2014-07-23
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,,4000,1700,,4060,,0.85,242.3762343,-21.0831403,139.135,12.618,2015-04-01
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,,3000,1700,K7 V,4060,,0.85,242.3762343,-21.0831403,139.135,12.618,2015-04-01
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,,3000,1800,,3993,1.31316,0.623,242.3762343,-21.0831403,139.135,12.618,2015-04-01
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,18.647,1.664,2543,1800,K7 V,4060,1.352,0.85,242.3762343,-21.0831403,139.135,12.618,2014-05-14
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,,,289.2253,,G3 IV,4893,10.64,0.99,217.1555242,49.8446488,95.9863,5.59,2018-04-26
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,,,280.64248338,,G3 IV,4816,12.19,1.05,217.1555242,49.8446488,95.9863,5.59,2023-09-19
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,,,632.46,,,5098,4.9,1.54,155.8684866,-0.9023998,72.0691,6.4535,2014-05-14
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883,2.08,,,273.32,,,5098,4.9,1.54,155.8684866,-0.9023998,72.0691,6.4535,2014-05-14
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,,118,,,1271.313628,1450,M V,3100,0.84,0.17,69.3405531,26.8502997,128.484,16.186,2021-12-13
2M1510 b,2M1510 A,3,1,Radial Velocity,2025,European Southern Observatory,2000,,,,2000,,,,,0.033104,227.6988244,-28.3050724,,,2025-05-01
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84,,,4131.79,,M5.5/M6,,,0.19,15.8992489,-55.2658291,,15.788,2020-09-03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,,11.209,1,,1600,,3309,0.36645,0.353185,20.7128012,-24.6646128,33.8281,14.244,2015-09-03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52,,,7786.5,,M3.5 V,3530,,0.4,20.7128012,-24.6646128,33.8281,14.244,2014-05-14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,16.14096,1.44,4417.837,,M6,3064,0.281,0.108,34.8427046,-39.4230767,,,2015-05-14
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,Mauna Kea Observatory,,1950,,,3686.8095212,,M6 V,,,0.046,42.4851627,-5.9599921,66.0613,18.3,2024-05-13
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,572,,,5720.911326,2369,,,,,59.7911026,20.1599759,117.435,,2024-05-08
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15,,,2383.6,,M8.5,,,0.019,70.4371079,23.0308544,,,2014-05-14
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,266,,,8899.195396,2677,,,,,165.3295388,-77.5440912,,,2024-05-08
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,587,,,6356.56814,2506,,,,,178.7691634,-79.3197558,100.862,16.957,2024-05-07
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55,,,1589.15,1250,M8,,,0.024,181.8890906,-39.5484399,64.308,,2016-02-25
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,46,,,1271,1150,,2825,0.21887,0.188001,181.8890906,-39.5484399,64.308,,2014-05-14
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,406,,,,591.16083702,,,29564,0.203,0.48,294.6359173,46.0664076,396.332,12.651,2022-04-19
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,416,0.92,,,603.877,,,,,0.48,294.6359173,46.0664076,396.332,12.651,2015-06-04
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,7493,,,3813.940884,1616,,,,,321.3662989,-81.6414894,34.1154,11.804,2024-05-07
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,230,,,3972.875,,K7 V,4045,,0.6,339.1025931,47.861683,69.5737,12.368,2016-11-10
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.1,0.995,,,3140.03,,F6 V,6300,1.13,1.16,39.2412736,24.6480103,44.657,7.09209,2014-05-14
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,345.4,1.01,,,2097.678,,,,1.13,1.16,39.2412736,24.6480103,44.657,7.09209,2015-12-03
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,,,4392.4106,,,6331,1.41,1.93,39.2412736,24.6480103,44.657,7.09209,2018-09-06
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,0.877,,,2511.48007211,,K1 III,4415,18.11,1.234,130.0528099,64.3280504,73.4603,4.5801,2023-09-19
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,0.87,,,2256.5,,K1 III,4415,18.11,1.234,130.0528099,64.3280504,73.4603,4.5801,2014-05-14
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,,,1233.13,,K1.5 III,4200,22.03,0.98,276.4975053,65.5633652,90.6545,4.8262,2014-05-14
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1076.6,2.1,,,778.6835,,G0 V,5882,,1.063,164.8647611,40.4304931,13.7967,5.03352,2016-01-28
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,,,804.08,,,5872,1.21334,1.06,164.8647611,40.4304931,13.7967,5.03352,2014-05-14
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1100.8,2.11,,,877.17,,,,,,164.8647611,40.4304931,13.7967,5.03352,2014-08-21
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1083.2,2.11,,,826.32,,G1 V,,,,164.8647611,40.4304931,13.7967,5.03352,2014-09-18
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1076.6,2.059,,,774.86565627,,,5829.16,1.136537,1.005192,164.8647611,40.4304931,13.7967,5.03352,2021-09-20
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391,3.6,,,171.621,,,5872,1.21334,1.06,164.8647611,40.4304931,13.7967,5.03352,2014-05-14
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,7586,7.73,,,425.87,,G1 V,,,,164.8647611,40.4304931,13.7967,5.03352,2014-09-18
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2287,3.404,,,157.96071828,,,5829.16,1.136537,1.005192,164.8647611,40.4304931,13.7967,5.03352,2021-09-20
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002,11.6,,,521.22,,,5872,1.21334,1.06,164.8647611,40.4304931,13.7967,5.03352,2014-05-14
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,19000,13.8,,,479.92089457,,,5829.16,1.136537,1.005192,164.8647611,40.4304931,13.7967,5.03352,2021-09-20
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,14965,14,,,,,,7295,1.48726,1.65,69.4007424,-2.4738245,29.7575,5.21149,2015-12-03
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,11688,12,,,,,,7295,1.48726,1.65,69.4007424,-2.4738245,29.7575,5.21149,2019-07-11
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,,13.2,,,635.66,700,F0 IV,,,1.75,69.4007424,-2.4738245,29.7575,5.21149,2015-08-14
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.23077,0.052,,,148.738,,,,,,344.3675399,20.7690958,15.4614,5.45309,2014-08-21
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.2293,,,,149.3801,,,5773,1.29,,344.3675399,20.7690958,15.4614,5.45309,2016-11-03
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.2307969,0.05235,,,147.47238085,,,5760.76,1.186744,1.069296,344.3675399,20.7690958,15.4614,5.45309,2022-05-09
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.231,0.052,,,146.2018,,,,,1.04,344.3675399,20.7690958,15.4614,5.45309,2015-08-27
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,,,150.009,,,5758,1.17561,1.03,344.3675399,20.7690958,15.4614,5.45309,2014-05-14
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.648,0.11,,,266.9772,,G8 V,5200,,0.85,133.1468373,28.3298154,12.5855,5.95084,2016-11-10
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.651,0.1134,,,254.25,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-14
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6,0.113,,,254.25,700,K0 IV-V,,,,133.1468373,28.3298154,12.5855,5.95084,2015-02-12
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65152,0.11522725,,,263.9785,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2014-10-29
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.67,0.115,,,249.17872,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2016-10-13
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65171,0.1162,,,267.29369029,,,5317.89,0.964411,0.974708,133.1468373,28.3298154,12.5855,5.95084,2022-05-09
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.653,0.115,,,266.9772,,G8 V,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2016-10-06
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.465314,0.11339,,,266.966,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65126,0.1138,,,260.61,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,,,255.4,,,5172,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2021-02-11
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.647,0.115,,,289.21,,,,,,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.65162,0.115,,,261.881,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-16
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.4175,0.241376,,,54.4738,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2014-10-29
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3787,0.238,,,52.44,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,0.2373,,,51.2,,,5172,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2021-02-11
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.38,0.237,,,52.44,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-14
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,43.93,0.24,,,68.96911,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2016-10-13
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3446,0.24,,,53.711,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-16
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.373,0.23735,,,56.6985,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3827,0.2432,,,54.3486576,,,5317.89,0.964411,0.974708,133.1468373,28.3298154,12.5855,5.95084,2021-09-20
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4909,5.47,,,1121.89,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-14
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4545,5.28,,,918.49,,,,,,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5360,5.9,,,1287.2115,,G8 V,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2016-10-06
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5370,5.84,,,1220.42,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4517.4,5.257,,,1243.35096,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2016-10-13
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5574.2,5.957,,,991.6,,,5172,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2021-02-11
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4820,5.54,,,908.98924402,,,5317.89,0.964411,0.974708,133.1468373,28.3298154,12.5855,5.95084,2021-09-20
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4825,5.503,,,1232.493,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2014-10-29
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,4867,5.446,,,1226.77,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5218,5.77,,,1218.827,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-16
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,,1.947,0.1737,8.59,,,,0.98,1.015,133.1468373,28.3298154,12.5855,5.95084,2023-08-07
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654625,,,,,,,5234,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2024-03-04
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365445,0.01583,,,9.37593801,,,5317.89,0.964411,0.974708,133.1468373,28.3298154,12.5855,5.95084,2022-05-09
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.736546,0.01583,2.173,0.194,8.37,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-16
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,1.875,0.1672763,7.99,,,5172,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2021-02-11
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,,,,,,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2020-06-24
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.736543,,1.856,0.16558151,,,,5272,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2025-04-16
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365478,0.015439,,,8.09479,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365515,0.015690907,,,8.13928,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2014-10-29
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,,0.01544,1.92,0.17129093,8.08,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2016-01-21
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365437,0.01544,2.08,0.18556517,7.81,1958,,5234,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2015-12-03
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,2.808,0.038,,,14.30235,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2016-10-13
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.737,,1.897,0.169239,7.74,,,5172,0.954,0.873,133.1468373,28.3298154,12.5855,5.95084,2019-08-29
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.736539,0.01544,1.91,0.17039879,8.08,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2019-01-31
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654604,,,,,,,,,,133.1468373,28.3298154,12.5855,5.95084,2023-09-19
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654625026,,2.02311213,0.18049029,,1831.27,,5250,0.963515,,133.1468373,28.3298154,12.5855,5.95084,2024-12-10
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,2.79674,0.0377,,,7.4687,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.73654,0.01583,2,0.178,8.63,,G8 V,,0.943,0.963,133.1468373,28.3298154,12.5855,5.95084,2014-05-14
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365417,,,,,,,,,,133.1468373,28.3298154,12.5855,5.95084,2019-10-24
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260,0.781,,,45.766,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-16
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,259.88,0.7708,,,47.8,,,5172,0.943,0.905,133.1468373,28.3298154,12.5855,5.95084,2021-02-11
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,261.2,0.77,,,54.664,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-05-14
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260.98,0.792,,,46.87969003,,,5317.89,0.964411,0.974708,133.1468373,28.3298154,12.5855,5.95084,2021-09-20
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,262,0.788,,,44.812,,,,,0.95,133.1468373,28.3298154,12.5855,5.95084,2014-10-29
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260.91,0.7733,,,47.0051,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,260.7,0.775,,,44.812,,,5250,0.963515,0.9,133.1468373,28.3298154,12.5855,5.95084,2014-08-21
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,899,2.2,,,762.8,,K0 IV,4978,5.2,1.7,97.6960311,58.1611753,54.6599,5.87307,2014-08-21
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,874.774,2.18,,,702.4043,,,,5.2,1.82,97.6960311,58.1611753,54.6599,5.87307,2015-09-03
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,2.028,,,597.83523357,,K0 IV,4941,4.94,1.32,97.6960311,58.1611753,54.6599,5.87307,2023-09-19
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,2.11,,,638.8383,,,4938,5.2,1.44,97.6960311,58.1611753,54.6599,5.87307,2018-12-06
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.21487,0.04956,,,5.11703735,,,5585.57,1.03251,0.914072,199.596455,-18.3157745,8.50332,4.6955,2021-09-20
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,,,5.1,,G5 V,5577,0.963,0.942,199.596455,-18.3157745,8.50332,4.6955,2014-05-14
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.0957,0.2151,,,16.11390023,,,5585.57,1.03251,0.914072,199.596455,-18.3157745,8.50332,4.6955,2021-09-20
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,,,18.2,,G5 V,5577,0.963,0.942,199.596455,-18.3157745,8.50332,4.6955,2014-05-14
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.476,,,22.9,,G5 V,5577,0.963,0.942,199.596455,-18.3157745,8.50332,4.6955,2014-05-14
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,1.8,,,616.5,,,,5.198,1.439,99.171276,-19.2561808,19.8101,3.95,2024-09-13
